BillURL,SessionYr,BillName,StageName,StageDate,StageLink
http://services.parliament.uk//bills/2010-12/armedforces.html,2010-12,Armed Forces Act,Committee debate: 4th Sitting: House of Commons,17.02.2011,http://www.publications.parliament.uk/pa/cm201011/cmpublic/armedforces/110217/am/110217s01.htm
http://services.parliament.uk//bills/2010-12/armedforces.html,2010-12,Armed Forces Act,Committee: 1st sitting: House of Commons,14.06.2011,http://www.publications.parliament.uk/pa/cm201011/cmhansrd/cm110614/debtext/110614-0002.htm#11061453000002
http://services.parliament.uk//bills/2010-12/armedforces.html,2010-12,Armed Forces Act,Programme (No. 2) motion: House of Commons,14.06.2011,http://www.publications.parliament.uk/pa/cm201011/cmhansrd/cm110614/debtext/110614-0002.htm#11061453000009
http://services.parliament.uk//bills/2010-12/armedforces.html,2010-12,Armed Forces Act,3rd reading: House of Commons,16.06.2011,
http://services.parliament.uk//bills/2010-12/armedforces.html,2010-12,Armed Forces Act,1st reading: House of Lords,16.06.2011,http://www.publications.parliament.uk/pa/ld201011/ldhansrd/text/110616-0003.htm#11061645000639
http://services.parliament.uk//bills/2010-12/armedforces.html,2010-12,Armed Forces Act,2nd reading: House of Lords,06.07.2011,http://www.publications.parliament.uk/pa/ld201011/ldhansrd/text/110706-0001.htm#11070688000368
http://services.parliament.uk//bills/2010-12/armedforces.html,2010-12,Armed Forces Act,Committee: 1st sitting: House of Lords,06.09.2011,http://www.publications.parliament.uk/pa/ld201011/ldhansrd/text/110906-gc0001.htm#11090662000060
http://services.parliament.uk//bills/2010-12/armedforces.html,2010-12,Armed Forces Act,Committee: 2nd sitting: House of Lords,08.09.2011,http://www.publications.parliament.uk/pa/ld201011/ldhansrd/text/110908-gc0001.htm#11090847000174
http://services.parliament.uk//bills/2010-12/armedforces.html,2010-12,Armed Forces Act,Report stage: House of Lords,04.10.2011,http://www.publications.parliament.uk/pa/ld201011/ldhansrd/text/111004-0001.htm#11100433000401
http://services.parliament.uk//bills/2010-12/armedforces.html,2010-12,Armed Forces Act,3rd reading: House of Lords,10.10.2011,http://www.publications.parliament.uk/pa/ld201011/ldhansrd/text/111010-0001.htm#11101019001242
http://services.parliament.uk//bills/2010-12/armedforces.html,2010-12,Armed Forces Act,Ping Pong: House of Commons,19.10.2011,http://www.publications.parliament.uk/pa/cm201011/cmhansrd/cm111019/debtext/111019-0004.htm#11101959000002
http://services.parliament.uk//bills/2010-12/armedforces.html,2010-12,Armed Forces Act,Programme (No. 3) motion: House of Commons,19.10.2011,http://www.publications.parliament.uk/pa/cm201011/cmhansrd/cm111019/debtext/111019-0004.htm#11101959000005
